,message,created_time
1125,My priority is getting my daughter a filling before she can begin life-saving chemo which is due to start on Friday-no dentist no chemo 😡,2023-01-04T15:03:21+0000
1136,"LOL. Be honest. Your policy is, “if it moves, tax it, if doesn’t, shower it with taxpayers cash” 😄😄",2023-01-04T15:20:01+0000
1146,"Rather than adding even more money, how about looking into the processes and organisation. As a patient dealing with the NHS, it is right in your face that the processes are very inefficient ( e.g. in A&E, you have to tell 5 different people of different levels the same thing. If the doctor/ nurse would have the information I have already given so many times, they can save 80% of their time. The organisation itself is so complex that all NHS departments have many different spreadsheets just to understand who is responsible for what part and what should happen next, at least 50% of time can be saved here. One organisation, same process everywhere and one system and suddenly it works 😳",2023-01-04T18:02:02+0000
1172,"Have not seen a policeman walk past my house “on the beat” in over 30yrs, not even in fancy dress. I bet 90% of todays police force wasn’t even born when I last saw one doing the rounds on foot 🥸",2023-01-03T09:50:40+0000
1184,"The last time I saw a police man walking it turned out somebody had stolen his van, more police on the beat Yeeeah 🤣",2023-01-03T09:05:51+0000
1211,This is great its reLly gona sort the mess you lot have made of this country  i hope someone gave you a sticker 😀,2023-01-01T17:21:28+0000
1222,Bring back Boris... He will get us out of this holy mess. Then it will be the best New Years..... 💙💙💙,2023-01-01T00:42:49+0000
1232,Some comments on hear make me laugh when have labour ever been great 😂,2023-01-01T00:45:13+0000
1254,Well done indeed Rishi 👏👏👏 As you can see by the comments you have really got up the nose of the Labour Left. 👍,2022-12-31T21:52:36+0000
1267,Well done Rishi 👏👏👏,2022-12-31T17:42:36+0000
1270,What a 🔔 end. Proud of many things but our leaders is definitely not one!!,2022-12-31T18:37:27+0000
1272,🏘 This is just some of what we're doing to help households - visit conservatives.com/achievements for more,2022-12-30T13:36:07+0000
1286,"Printed money creates inflation which you have done in record amounts complete mis handling of finances and latest stunt voted the latest leader in behind closed doors the very man that was supposed to have control of the money (eat out to help out 🤣) borders are non existent, law and order is a joke, highest taxes for 70 years and I was a conservative member note was, have now joined Reform in the hope there popularity opens your eyes what a farce we must be the laughing stock of the world 😢",2022-12-30T18:44:11+0000
1298,🏘 This is just some of what we're doing to help households - visit conservatives.com/achievements for more,2022-12-29T16:20:31+0000
1311,✔️ fuel bills through the roof ✔️ 12 hour waits for an ambulance and can't get a doctors appointment ✔️ victims crime just given a reference number as police don't have the resources to investigate,2022-12-29T16:20:52+0000
1312,"Deluded, so far removed from your electorate  It’s not working, throwing out magnanimous statements no longer carry impact, every part of the civil service is broken 😡 the country is a mess, councils and government waste is startling, stop treating us like we are simple",2022-12-30T18:49:21+0000
1318,Same old same old call an election 🗳,2022-12-29T16:43:14+0000
1328,Merry Christmas for the 1% and we have to pay for your parties now too 😂,2022-12-25T10:40:55+0000
1330,Don't bother from a very despondent once proud EX tory member 🥲,2022-12-25T20:06:20+0000
1332,I have been waiting for last 7 hours after calling for emergency to 999 and all they saying they will send an ambulance my foot 😡  If NHS is total failed then stop charging us for ambulance service with council text simple ..   Total failed government,2022-12-26T23:33:46+0000
1334,Merry Christmas to you All ✝️🎄,2022-12-25T08:02:33+0000
1336,Not a normal house all the lights are on 😡,2022-12-25T14:21:06+0000
1337,"Lovely message, Merry Christmas Conservatives 🎄👍🇬🇧",2022-12-25T09:31:08+0000
1339,"Merry Christmas, I hope you’re all celebrating like it’s 2020 🥂🥂🥂🥂",2022-12-25T17:38:00+0000
1344,"Merry Christmas to you all and best wishes for 2023 ❤️❤️ always been a loyal Conservative voter and supporter, and will continue to be x",2022-12-29T23:28:15+0000
1348,Merry Christmas 🎄🎄,2022-12-25T09:27:43+0000
1351,"If you are that grateful, make MP’s salaries the same as nurses salaries and give pensioners a living state pension then maybe close all borders to economic migrants - or isn’t it about the money 😡😡😡",2022-12-24T13:56:49+0000
1354,At the end of the day you couldn't care less. You are extremely comfortable with your millions whilst many people in the UK are struggling to either heat their homes or eat. This government is a disgrace and don't even think about adding 12p to fuel 😡😡😡😡😡😡,2022-12-24T17:58:40+0000
1363,Well give them the wages and recognition they’re asking for 😡😡😡😡. Total joke of statement 😡😡😡,2022-12-29T10:07:32+0000
1369,They must be the minority as most of the country seems to be on strike 🤥,2022-12-24T22:57:14+0000
1376,Have your voice heard and tell Labour they cannot remain silent on their union paymasters strikes 👇  https://action.conservatives.com/nightmare-before-christmas/,2022-12-23T10:10:28+0000
1381,Stop blaming unions for the amount of money the Conservatives  have wasted. Billions and billions absolute disgrace. Just be honest and stop scapegoating other organisations 😡,2022-12-23T10:39:06+0000
1382,Love how this is labours problem yet you’ve been in charge for 12 years 😂,2022-12-23T10:11:17+0000
1388,I can’t cope with how childish our leaders are. Name calling is the stuff of playgrounds. How do they think this is appropriate? 🙈  I guess they’re sticking to what works well for them sadly. A lot of Conservative votes have been gained from mud throwing. Such a crappy situation.,2022-12-23T12:11:12+0000
1397,"😂 Ha the irony in these posts is the tories think that the public don't support the strikes, Labour are missing a trick in staying silent, the NHS strikers above all deserve all our support. I have voted Conservative all but once in my adult life but we cannot build a health service for the future if no-one wants to join it because the pay is so poor. Wake up Rishi or pay the price at the GE..",2022-12-23T10:26:58+0000
1404,If anyone needs a pay rise it’s them 🙏,2022-12-22T20:43:37+0000
1407,"No but this veteran is transporting patients, for £148pcm less than I was on as a guardsman! Am I mad? No because I signed on like the rest. You take the rough with the smooth.  30 yr old daughter now. I think we shared 12 winters together.  I’ll tell you why! Because we care. To all politicians, irrelevant wether you’re PM or MP, you’ll end up on the back of an ambulance one day. Midwife, vicar, doctor, nurse, postie, nursery, teacher, police, soldier, fireman, solicitor, ambulance, urgent care, social, private ambulance, undertaker. vicar.  That’s you’re life right there. Everyone else is a bonus!   I was once willing to give my life, for what I believed this country stood for!  Today, I’d give ve my life to protect my family, from what this country has become! 💂‍♀️",2022-12-23T22:01:25+0000
1416,"Another public service that is underpaid and underfunded....the only people in public service who are over paid are politicians, especially Conservative ones...😡",2022-12-22T21:17:35+0000
1424,Is that why we still have vets on the streets whilst the ILLEGALS lash it up in hotels 😡 you speak 💩💩,2022-12-25T18:54:40+0000
1447,Well you f🤬kers are pure evil…,2022-12-22T12:02:03+0000
1454,"🎣 This is on top of our landmark £100m investment in fishing infrastructure, skills and better scientific",2022-12-21T20:18:56+0000
1464,"Better scientific what..?  That's not even a full sentence 🤣 And as for the fish. So yeah, they may be able to catch more but who are they going to sell it to? Their biggest market is all but closed off to them now 🤦‍♂️",2022-12-21T21:54:48+0000
1468,What do you mean can catch? They are 🇬🇧 waters 💧,2022-12-22T08:44:40+0000
1488,The laugh of man knowing they won’t be getting a pay rise during his tenure 😆,2022-12-20T09:41:25+0000
1535,But Happy Christmas is frowned on 😡,2022-12-18T21:57:26+0000
1537,"So agree, to all my friends ❤️",2022-12-18T16:39:07+0000
1545,❤️🙏,2022-12-19T06:49:37+0000
1546,Like anyone here can afford candles now 😂,2022-12-19T15:44:33+0000
1547,Not long now till your out of power hopefully some other party might make a difference and put the working class before your rich friends who line your pockets maybe the government might do the right thing and take a pay cut in line with inflation like the rest of the country has or do you all think you are worth your pay I don’t think any of you a worth the wages us tax payers pay you 🤬🤬🤬🤬,2022-12-19T16:19:37+0000
1555,"2022-12-20: Dear Sir, #PleaseRT  In an interview with the German magazine Zeit dated December 7, former German Chancellor Angela Merkel “revealed” that the “Minsk Agreement” was intended to “buy time”. ● Click below for the full text! https://toworldmedia.blogspot.com/ ❤ The world's ""special zones"": USA's Mexican border, EU Algeria, Commonwealth 　British Commonwealth - Australia, Okinawa, North Korea, Sakhalin...English, Japanese, French, German　　 https://naganoopinion.blog.jp/  ---------   Rishi Sunak UK’s Prime Minister  Please do your best ----------",2022-12-19T07:15:39+0000
1558,📢 Have your voice heard and stand up against Labour’s nightmare before Christmas  action.conservatives.com/nightmare-before-christmas,2022-12-17T11:59:02+0000
1571,Wow great way to repackage your mess. Top class gaslighting 👍🏻,2022-12-17T12:01:17+0000
1589,About six weeks ago I listened stunned when we had the unelected 🐍 Sunak foisted on us.,2022-12-16T11:05:43+0000
1641,Let's help shape the Britain of today🤔,2022-12-12T16:44:49+0000
1645,You can't even shape great Britain let alone the world 🤬,2022-12-12T16:36:24+0000
1648,Britain is now a small insignificant group of islands off the North West of Europe. you'll influence nobody.😂,2022-12-13T14:26:53+0000
1656,More of the same then ending with immigration out of control everyone given Uk citizenship like it’s free with cornflakes 😡,2022-12-13T13:29:53+0000
1662,Good luck from the people of Scotland 🤙🏻🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,2022-12-10T18:43:43+0000
1664,Thankyou we need all the luck we can get with you lot in charge 😂,2022-12-10T21:30:04+0000
1666,'Good luck England ' Not.the best choice of words from the Tories😂,2022-12-11T14:58:01+0000
1668,Vive la France 🇫🇷🇫🇷🇫🇷😁😁🎉🥇👏👏👏👍🎉🎉!!! I feel a great collective wave of relief from everywhere (except England obviously 😁)!! So good to see the back of England and out of another big tournament again 👋👋 BON VOYAGE 😁! I don’t actually care who wins it but thankfully it won’t be you 😂.,2022-12-10T21:12:39+0000
1672,Good Luck England🍀🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-12-10T18:42:33+0000
1677,Wonder how little abuse Kane will get for missing that penalty 🤔,2022-12-10T20:55:49+0000
1679,Wishing them every bit of luck. Fingers crossed. 💪💪💪🤞,2022-12-10T18:48:18+0000
1680,"🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧 Good luck, lads!!🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿",2022-12-10T18:57:27+0000
1682,Good luck England ⚽️🦁🤞🏻❣🍀,2022-12-10T18:30:18+0000
1684,Good luck England 🙏🏾🙏🏾🥰🥰,2022-12-10T18:30:08+0000
1686,"I don’t understand !! We had diversity, we took the knee, SakaShit played, all I can think of is how limited we were in being unable to virtue signal to the full capacity being denied the 🌈 flag armbands",2022-12-10T21:05:06+0000
1688,I love the fact that this is the tory party page and no one is supporting them goes to show how popular you are 😂🤣😂,2022-12-08T16:34:51+0000
1694,"What a friggin joke! Claw back the money donated to Tory supporting companies for PPE that they had never produced, and youcan double that figure! But no never rob the rich always the poor! Bunch of Fatherless children!!!!!!🤬🤬🤬🤬🤬🤬🤬🤬🤬",2022-12-10T21:20:02+0000
1697,It's about time you took back control of our borders as promised FFS 😡😡😡😡,2022-12-08T17:24:39+0000
1705,I’m just thinking with the foreign aid budget should we on paper allow an allowance to countries that we choose to support. then any migrants that come here we have to support comes out of that allowance. If we pay them foreign aid what they receive is reduced by the number of there migrants we have support then maybe countries would try to support there own if they loose support money. As we are a kind country  with a big heart ♥️ but currently broke and can’t support everyone we need to focus on our own homeless and issues first. Just a thought 🤔,2022-12-09T10:25:35+0000
1709,More government waste. Why not try giving some of it back to the people who earned it so that we can decide how it should be spent? 😉😉,2022-12-08T16:33:29+0000
1715,"What about the £80k debt my son has left Uni with? What happened to a government that supports and invests in its students, like they do in other countries 😠",2022-12-08T16:19:15+0000
1761,Conservative record on bankrupting country 🤣🤣🤣,2022-12-07T23:05:55+0000
1770,"Oh good reliant on America now, makes me feel so much better 🙄",2022-12-07T12:10:19+0000
1779,Can’t upset the snowflakes drilling for oil or digging up coal we need to be relying on solar panels that get covered in snow or wind turbines that snow and ice freeze up very efficient ￼I don’t think ❄️,2022-12-07T12:25:56+0000
1782,Laughable given the transport needs and fragility of such means if threatened. All this talk of self sufficiency and energy security is just that; talk talk talk 😞,2022-12-07T12:19:53+0000
1785,How come we are in this position having to rely on other nations for energy? 🤔,2022-12-07T18:32:50+0000
1794,"Schools are horribly underfunded, pupils and parents buying their own books and paying for trips etc. Teachers massively disgruntled, some using food banks and on the verge of striking for better pay and conditions, except private schools of course... what a marvellous job the Tories have done to drive up standards 🙄",2022-12-06T16:03:52+0000
1800,Straight into the PFI holders hands - thank you 👍,2022-12-06T15:12:49+0000
1825,Yes working on chiselling even more money out of hard working people’s pockets and frittering it away whilst ramming ever more green guff down our throats. Your the new socialist Green Party certainly not conservative. 😡,2022-12-06T09:19:10+0000
1826,Yeah Christmas is coming and a lot of working class are going to have a very bleak day 😒 tories are disgusting,2022-12-07T11:36:06+0000
1827,"Yea christmas is on its way but no one can afford to eat or warm their house !!!!! Because you apparently well educated people🤦‍♂️ have ruined this country financially ! Top work 👍 glad your nice big houses are heated with your free heating and dodgy tax offsets , but dont worry about us and the nhs staff living out of their cars as they cant afford to live but still show up to work each day to save lives ! Should be ashamed of yourselves !",2022-12-07T22:18:17+0000
1844,⚡️ Every household across the country is receiving held through our £400 Energy Bill Support scheme on top of our Energy Price Guarantee,2022-12-05T14:33:04+0000
1853,Taxing people more than they’ve ever been taxed before and then giving them a little bit of it back isn’t exactly helping though is it 🙄,2022-12-05T14:37:50+0000
1855,Labour Party is a laugh 😂 especially Keir Starmer and his women entourage haha 😂,2022-12-05T14:39:58+0000
1867,The 🤡 who said nurses are aiding Putin 🤣🤣🤣🤣! They're asking for less each than he claimed on expenses for heating his stables FFS !,2022-12-07T18:18:04+0000
1871,Good result but ....all that kicking it back all the time is boring and how many times it was kicked back and Senegal nearly scored 🤷 .....they won't get away with that with France ....they need to up their game now but I won't hold my breath 🤔,2022-12-04T22:19:33+0000
1872,Congratulations!!  Please reduce the kicking back tactics- let's go forward. 👍🇫🇴,2022-12-04T22:48:05+0000
1874,Congratulations ENGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿.  Excellent.. Proud of you.  😁😃❤👍👌👏,2022-12-04T21:39:10+0000
1879,Job well done by a superb team. 💪💪🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-12-04T21:40:54+0000
1880,Congratulations to the England team 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧🇬🇧,2022-12-05T09:28:06+0000
1882,Well done Three Lions 🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-12-04T23:07:37+0000
1884,Well done boys good game looking forward to the next game good luck 👏👏👏👏,2022-12-04T21:12:05+0000
1886,"Congratulations to England from Croatia, we will meet in the final! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🤝🇭🇷",2022-12-04T21:27:05+0000
1889,congratulations  well done  💐🎺,2022-12-04T21:06:49+0000
1890,Congratulations to the team  Now finish the job 👏👏👏,2022-12-04T21:30:02+0000
1891,Congratulations England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 on reaching the quarter final of the world cup 2022,2022-12-05T01:19:32+0000
1892,Congratulations England 👍,2022-12-04T21:47:05+0000
1893,"🙂 France next :))) seeing them playing Poland, our boys needs to be well prepared. Not out of the woods just yet.bring it on England 🏴󠁧󠁢󠁥󠁮󠁧󠁿",2022-12-04T21:05:34+0000
1894,"Is this not the norm, the quarter finals, then we play the proper teams. 😁",2022-12-04T21:13:02+0000
1897,They can’t afford to switch lights 💡 on!! …. Tha killing economy on purpose 🙈🫣 Tell me I’m wrong 😑,2022-12-03T09:18:36+0000
1911,"If it moves, tax it, if it doesn’t, give it some money 😄😄",2022-12-04T17:45:03+0000
1912,How about helping hospitality small businesses and workers 👍,2022-12-03T09:02:46+0000
1915,It’s a shame you let the small businesses down from the start. You need to fix the strikes going on now which will do more damage than you can imagine.  I do semi support the unions for better conditions but I think doing what they are doing now is counter productive to All working people. Maybe an idea would be a planned general strike in January forewarned and planned to send a message to the government that things need to change. This would not disrupt the average working person or small business during the festive period. After 3 years of covid restrictions and now another Christmas ruined for thousands of people who May not again be able to celebrate together.  Just a thought 💭,2022-12-03T19:50:49+0000
1925,"Christmas is on the way, and the Conservatives have completely screwed us over! Merry Christmas 🎄",2022-12-02T17:49:37+0000
1931,I've had Christmas trees that have lasted longer than the average Tory PM... 😜,2022-12-05T17:28:47+0000
1933,It’s like a sketch from ‘The Office.’ 😂😂😂 Good job Rishi Brent 😂😂😂😂,2022-12-02T21:12:45+0000
1934,"The show is over ,time to call it a day & let's us not forget that It was this very same party that gave us Lizz Truss  😒",2022-12-02T17:32:57+0000
1935,It’s ok for you rich people you don’t have to explain to your children when they come down the stairs on Christmas Day and they have very little and no food on the table what a bunch off corrupt politicians you all are now do one and hurry up 2024 consecutive are history bye 👋,2022-12-03T02:58:27+0000
1939,"Unless I've missed something, I'm Still waiting on the announcement which was supposed to come in the autumn about how every household benefits from the £400 discount for the energy bills!!  😡",2022-12-05T14:52:42+0000
1942,"Keep up the hard work Rishi Sunak  So many challenges but you have the record of calling it right, looking after the people who need help most and taking the hard decisions 👍",2022-12-05T19:26:20+0000
1963,Of course it will 😂😂,2022-12-04T16:17:30+0000
1965,"There you go again, putting foreigners first 😉😉",2022-12-02T19:06:48+0000
1974,"Great man and leader he would be sorry to see the people in politics now and what a sad show they have become and the people that have brought his party and country to its knees,the greatest prime minister this country will ever know ✌️",2022-11-30T19:13:37+0000
1976,"Happy Birthday Sir Winston Churchill born on St Andrews Day 1874.  “…never give in, never give in, never, never, never, never-in nothing, great or small, large or petty — never give in except to convictions of honour and good sense. Never yield to force; never yield to the apparently overwhelming might of the enemy. We stood all alone a year ago, and to many countries it seemed that our account was closed, we were finished. All this tradition of ours, our songs, our School history, this part of the history of this country, were gone and finished and liquidated.  Very different is the mood today. Britain, other nations thought, had drawn a sponge across her slate. But instead our country stood in the gap. There was no flinching and no thought of giving in; and by what seemed almost a miracle to those outside these Islands, though we ourselves never doubted it, we now find ourselves in a position where I say that we can be sure that we have only to persevere to conquer.”  Speech to Harrow, 1941 🥃🇬🇧",2022-11-30T19:52:48+0000
1980,Shame he is not leading now 🤔,2022-11-30T19:01:03+0000
1991,THIS WAS BEFORE STRONG ENOUGH THIS IS WHAT WE CONTINUE STRONG ALWAYS WE WILL CONTINUE HIS MEMORIES OF HEAD WORK MAN WE CONTINUE WITH THIS CONFIDENCE 🇬🇧💪 🎉,2022-11-30T19:03:58+0000
1997,"My hero. My wife and I,had the honour to watch him being taken in his funeral procession, from her office overlooking Fleet Street in 1965. Never to be forgotten. RIP You Great man, you certainly deserve it.👏🇬🇧👏🇬🇧👏🇬🇧👏🇬🇧",2022-11-30T21:36:34+0000
2013,"Fix the leaking 💦 pipes. How can we be in a drought, surrounded by water. Rivers running across the land and reservoirs.",2022-11-30T17:14:00+0000
2019,This disgusting excuse of a government has been in power for 12 years!! This is on your watch! This is your mess! You sold off the water companies and you have allowed them to pollute our beautiful rivers and coastlines while making record profits for shareholders! Shame on you 😠,2022-12-01T11:36:07+0000
2029,"Right, so let’s get this straight…he’s blaming more debt, more inflation, more strikes and more immigration on….wait for it……the opposition………who aren’t in government 🤪",2022-11-30T20:08:40+0000
2044,It's more apocalyptic dystopian politics from a guy who was second choice to LIZ TRUSS 😂😂😂,2022-11-30T16:12:21+0000
2047,"Prime Minister, since when is the pay rise for the employees of a privatised company funded by the tax payer?🤣",2022-11-30T16:53:01+0000
2052,Happy St Andrews day to our friends across the Border.🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,2022-11-30T22:41:48+0000
2061,Have a gooden.😀,2022-12-01T05:30:31+0000
2062,"You could have said it better by handing Scotland a section 30 order and actually let Scotland have a voice in the UNUNITED UNEQUAL kingdom   .....oh sorry, my apologies!! I forgot, being a Scot means we are only allowed a voice once, then you can't open your mouth ever again!! 🚫😶😶😶😶😶😶🚫",2022-12-02T13:12:01+0000
2064,🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿Happy St George's Day 365 days a year It seems every Nation is encouraged to be Proud and Nationalistic except the English,2022-12-03T21:29:45+0000
2065,🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,2022-11-30T12:24:59+0000
2079,"England, indeed!  I'm from Portugal... and England and Portugal are mates 😉 for centuries! Sorry Wales... we love you too!",2022-11-29T17:00:56+0000
2080,"I’m English but live in wales, I would’ve liked both teams to go through but England first 😄🏴󠁧󠁢󠁥󠁮󠁧󠁿",2022-11-29T16:25:47+0000
2082,Good luck to both teams but hoping for our boys to win ❤️ 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-11-29T16:44:35+0000
2083,Good Luck England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-11-29T16:34:19+0000
2091,Go England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-11-29T16:23:44+0000
2092,Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿,2022-11-29T20:22:03+0000
2102,Reform UK 👍🏽,2022-11-29T16:24:55+0000
2115,That's been in planning since 2010 and is estimated to take a minimum of 15 years to build!!!! WTG!! Dipsticks taking the plaudits today for something that should have been near completion but won't be around for flipping ages. Take a bow 🙏,2022-11-29T16:34:10+0000
2131,But who will protect us from Conservatives  🤔,2022-12-04T09:49:55+0000
2133,P.S.  You'll need to rush this through the HoL before the end of this session.  At this rate it'll be then end of 2024 before it comes into law.  🤨,2022-11-29T18:40:28+0000
2150,Matt Hancock is my hero god bless you sir for your service to the country and its people a modern day Churchill ☺️,2022-11-29T12:27:47+0000
2200,Good luck  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,2022-11-29T18:37:24+0000
2212,Didn't think the country has any money an we all have to tighten our belts even harder an pay more tax yet Conservatives can find 20 million for planting trees of tax payers money 💰 not to mention we can cut down trees and ruin our countryside to gain 15 minutes on a train journey costing billions what an upside down country and Conservatives government it is truly madness especially when our current infrastructure needs updating massively could have saved planting new trees by not cutting old ones down there all stupid considering there all supposed to be educated,2022-11-28T16:49:52+0000
2240,I’ve got a Very old cottage and on the last insulation scheme They wouldnt go in my lofts under H&S so they said to me do it yourself.✌🏻✌🏻✌🏻,2022-11-28T12:07:09+0000
2251,...Labour have been calling for this for soooo long 😄 ...onshore wind turbine U-turn next 🤔,2022-11-28T13:55:51+0000
2257,Is there a VIP lane to fast track our application? We wont say anything if you wont 😉😉,2022-11-30T06:27:59+0000
2271,Should think about protecting England. White British are now the minority!! FGS!! 😡,2022-11-30T09:09:06+0000
2287,"All this while importing loads of men, who appear to have little respect for young girls rights. 🤬",2022-11-25T14:51:52+0000
2292,What about our borders and beaches!!!!  Letting in these people we don’t know 😡😡😡,2022-11-25T17:02:30+0000
2303,"Can you tell me why, when we are being told to tighten our belts, the taxpayer are having to pay for government staff Christmas parties?  Are you serious🤬",2022-11-25T22:21:25+0000
2309,By cutting the police by 20000? Nice move 🤦🏻,2022-11-28T13:36:17+0000
2314,Hope ukraine are paying us back at some point 💰💰💰💰💰💰💰💰💰💰💰💰,2022-11-23T14:52:20+0000
2322,"Keep sending them all the old, retired, slightly faulty kit that we don’t want or need anymore 😂",2022-11-23T15:54:12+0000
2325,Who’s going to defend our energy utility bills🤔🤔🤔🤔🤔🤔🤔,2022-11-23T20:51:25+0000
2327,"I wonder 🤔 if they will become unaccountable,just like the rest of the equipment and money thats been sent .......",2022-11-23T17:01:33+0000
2334,"OK. So you tell us cut our elec by is it 15 percent, which many of us, have done already. I've had one piece of toast since March darent out toaster on. You've families with kids cold, granddaughters Christmas wish is to have the heating on. We can't afford the money for Ukraine full stop. You'll gave homeless people on your hands next year who have been refused renewal of mortgage. Just 🤔 wondering where your priorities are?",2022-11-25T21:00:04+0000
2350,"And the Tories said they wouldn't put taxes up, and now they have... 🙄",2022-11-23T13:00:57+0000
2351,Powerful words voice of honesty of service with security for the country with successfully this only about be honest in politics do the job well Spoken Uk primer Ministers 🇬🇧👏👏,2022-11-23T16:40:28+0000
2366,All the younger folk moaning on here are tomorrows pensioners. They need to be careful what they wish for.🤔😉,2022-11-23T11:49:08+0000
2379,And we're supposed to be grateful  for it what a joke paid in for over 50yrs years 🤬🤬🤬,2022-11-23T12:36:47+0000
2388,"Yes that is wonderful, great however, I know pensioners who are extremely wealthy and really don’t need these extra payments, my boss for instance drives a Maclaren super car has 3 properties etc. I know some are in poverty too but there’s a lot who have lived through the boom times, bought houses when it was only 3 times your annual salary instead of 10 times etc it’s time this government did more for the youngsters unfortunately they don’t vote Tory 🤔",2022-11-23T15:32:11+0000
2396,not really worth a coment the unions are  trying  to help him  by pushing  strikes  when the only answer is  is to get stuck in workhard to pull us out of the posiyion we are due to world influence  and covid and illegal entry to our country 👍🇬🇧,2022-11-22T16:36:43+0000
2416,Good luck from Scotland 🤙🏻🇬🇧,2022-11-21T12:59:24+0000
2417,Just no kneeling!! Please!! Good Luck from Denmark🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿!,2022-11-21T13:29:33+0000
2420,Best Wishes dear ⚽️,2022-11-21T12:53:53+0000
2421,"All the best -"" ENGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿""-- . 😊❤👍",2022-11-21T12:59:29+0000
2425,Come on Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿👍❤️🥳,2022-11-21T13:49:44+0000
2429,Good luck I just fuc the country if u can’t pay for the electric come around my house I’ve got millions 🤪,2022-11-21T18:33:57+0000
2430,good luck Conservatives they’ve more chance of winning world cup than you have of winning next election.😡,2022-11-21T17:32:14+0000
2435,Always More Scores 🇬🇧🇬🇧🙏🙏,2022-11-21T13:49:15+0000
2437,Six one England ❤️,2022-11-21T15:17:57+0000
2439,What about scotland? 🤣😂🤣 world cups not for everyone,2022-11-21T20:30:01+0000
2445,"Not a cat in hells chance, you have ruined the party and disenfranchised the members 😡",2022-11-21T18:32:55+0000
2466,"Milions of Undocument legal migrants Living in uk.... after 10 years grant amnesty and reduce 20 year ILR rule ❤️  The Government should grant amnesty to undocumented migrants who have been living in the UK for 10 years or more, and reduce the 20 year residence rule for Indefinite Leave to Remain (ILR). This should be decreased to 14 years. It is unjust.  In this difficult time those people really stuggling ,they can speak engish ,they know culture and they have lots of work experience why can't they contribute the economy.  The Hostile Environment that faces people on their arrival in the UK extends to those who have been here for years trying to make a living. Undocumented migrants – the majority of whom arrived through legal routes but have fallen out of legal status   now whats happening hiring law skill imigrant including lots of dependants from every country,and its make really harmfull for the country long term. please consider my sensible request and give them status,minimum allow them to swich to some sort of working visa category,this way they must work,pay tax for continue status and renew visa. they need life aswell, make them pay tax,rather than working in black market,This is the best quikest way to sort out labor shortage aswell.... Thanks  🙏",2022-11-27T07:30:09+0000
2470,"""Do us proud"" because our government certainly can't 🙄",2022-11-20T16:49:09+0000
2472,Well done Rishi. Ignore the Luddite’s 👍,2022-11-20T20:04:28+0000
2474,Tories are a sad joke 😔,2022-11-21T07:29:37+0000
2480,"Great, love it. Fingers crossed 🤞",2022-11-23T10:41:11+0000
2482,Everyone gets a fiver on the leccy if England win it ⚽️⚽️🤑🤑,2022-11-20T19:26:38+0000
2485,Wales have always wanted their football team to be as good as their rugby team. Now it is 🤣🤣🤣🤣🤣,2022-11-20T17:33:52+0000
2486,"I am not voting Conservative, talk about betrayal of the Brexit vote. Reform uk is the way forward 🙌",2022-11-21T11:50:39+0000
2487,Rishi! See you next Tuesday! 😊👍,2022-11-20T18:20:14+0000
2492,How embarrassing 😳,2022-11-20T17:34:47+0000
2501,As a Conservative member- this governments plan seems to be “give benefit claimants 10% increase and hammer hard working people and business owners”   👎 to this “plan”,2022-11-20T11:50:57+0000
